Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,total_Max_Porch_Area,total_Porch
11,20,RL,70.0,11200,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,5,5,CBlock,5,5,1,5.5,906.0,2.0,0.0,134.0,1040.0,GasA,10,1,5.0,1040,0,0,1040,1.0,0.0,1,0,3,1,5,5,10,0,nan,Detchd,1965.0,2,1.0,384.0,5,5,3,0,0,0,0,0,0,0,0,nan,0,2,2008,WD,Normal,129500,0,0
12,60,RL,85.0,11924,Pave,nan,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,10,5,PConc,10,5,1,10.0,998.0,2.0,0.0,177.0,1175.0,GasA,10,1,5.0,1182,1142,0,2324,1.0,0.0,3,0,4,1,10,11,10,2,Gd,BuiltIn,2005.0,5,3.0,736.0,5,5,3,147,21,0,0,0,0,0,0,nan,0,7,2006,New,Partial,345000,168,168
13,20,RL,,12968,Pave,nan,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,5,5,CBlock,5,5,1,5.0,737.0,2.0,0.0,175.0,912.0,GasA,5,1,5.0,912,0,0,912,1.0,0.0,1,0,2,1,5,4,10,0,nan,Detchd,1962.0,2,1.0,352.0,5,5,3,140,0,0,0,176,0,0,0,nan,0,9,2008,WD,Normal,144000,316,316
14,20,RL,91.0,10652,Pave,nan,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,7,5,PConc,7,5,3,2.0,0.0,2.0,0.0,1494.0,1494.0,GasA,10,1,5.0,1494,0,0,1494,0.0,0.0,2,0,3,1,7,7,10,1,Gd,Attchd,2006.0,3,3.0,840.0,5,5,3,160,33,0,0,0,0,0,0,nan,0,8,2007,New,Partial,279500,193,193
15,20,RL,,10920,Pave,nan,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,5,5,CBlock,5,5,1,3.0,733.0,2.0,0.0,520.0,1253.0,GasA,5,1,5.0,1253,0,0,1253,1.0,0.0,1,1,2,1,5,5,10,1,Fa,Attchd,1960.0,3,1.0,352.0,5,5,3,0,213,176,0,0,0,0,5,nan,0,5,2008,WD,Normal,157000,389,389
16,45,RM,51.0,6120,Pave,nan,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,5,5,BrkTil,5,5,1,2.0,0.0,2.0,0.0,832.0,832.0,GasA,10,1,3.0,854,0,0,854,0.0,0.0,1,0,2,1,5,5,10,0,nan,Detchd,1991.0,2,2.0,576.0,5,5,3,48,112,0,0,0,0,0,5,nan,0,7,2007,WD,Normal,132000,160,160
17,20,RL,,11241,Pave,nan,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,5,5,CBlock,5,5,1,5.0,578.0,2.0,0.0,426.0,1004.0,GasA,10,1,5.0,1004,0,0,1004,1.0,0.0,1,0,2,1,5,5,10,1,TA,Attchd,1970.0,5,2.0,480.0,5,5,3,0,0,0,0,0,0,0,0,Shed,700,3,2010,WD,Normal,149000,0,0
18,90,RL,72.0,10791,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,5,5,Slab,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,GasA,5,1,5.0,1296,0,0,1296,0.0,0.0,2,0,2,2,5,6,10,0,nan,CarPort,1967.0,2,2.0,516.0,5,5,3,0,0,0,0,0,0,0,0,Shed,500,10,2006,WD,Normal,90000,0,0
19,20,RL,66.0,13695,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,5,5,PConc,5,5,1,10.0,646.0,2.0,0.0,468.0,1114.0,GasA,10,1,5.0,1114,0,0,1114,1.0,0.0,1,1,3,1,7,6,10,0,nan,Detchd,2004.0,2,2.0,576.0,5,5,3,0,102,0,0,0,0,0,0,nan,0,6,2008,WD,Normal,159000,102,102
20,20,RL,70.0,7560,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,5,5,CBlock,5,5,1,1.0,504.0,2.0,0.0,525.0,1029.0,GasA,5,1,5.0,1339,0,0,1339,0.0,0.0,1,0,3,1,5,6,8,0,nan,Attchd,1958.0,2,1.0,294.0,5,5,3,0,0,0,0,0,0,0,3,nan,0,5,2009,COD,Abnorml,139000,0,0
21,60,RL,101.0,14215,Pave,nan,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,7,5,PConc,10,5,3,2.0,0.0,2.0,0.0,1158.0,1158.0,GasA,10,1,5.0,1158,1218,0,2376,0.0,0.0,3,1,4,1,7,9,10,1,Gd,BuiltIn,2005.0,3,3.0,853.0,5,5,3,240,154,0,0,0,0,0,0,nan,0,11,2006,New,Partial,325300,394,394
22,45,RM,57.0,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,5,5,PConc,5,5,1,2.0,0.0,2.0,0.0,637.0,637.0,GasA,10,1,4.0,1108,0,0,1108,0.0,0.0,1,0,3,1,7,6,10,1,Gd,Attchd,1930.0,2,1.0,280.0,5,5,2,0,0,205,0,0,0,0,5,nan,0,6,2007,WD,Normal,139400,205,205
23,20,RL,75.0,9742,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,7,5,PConc,7,5,1,2.0,0.0,2.0,0.0,1777.0,1777.0,GasA,10,1,5.0,1795,0,0,1795,0.0,0.0,2,0,3,1,7,7,10,1,Gd,Attchd,2002.0,3,2.0,534.0,5,5,3,171,159,0,0,0,0,0,0,nan,0,9,2008,WD,Normal,230000,330,330
24,120,RM,44.0,4224,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,5,5,PConc,7,5,1,10.0,840.0,2.0,0.0,200.0,1040.0,GasA,5,1,5.0,1060,0,0,1060,1.0,0.0,1,0,3,1,5,6,10,1,TA,Attchd,1976.0,2,2.0,572.0,5,5,3,100,110,0,0,0,0,0,0,nan,0,6,2007,WD,Normal,129900,210,210
25,20,RL,,8246,Pave,nan,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,5,7,CBlock,5,5,2,5.5,188.0,5.0,668.0,204.0,1060.0,GasA,10,1,5.0,1060,0,0,1060,1.0,0.0,1,0,3,1,7,6,10,1,TA,Attchd,1968.0,2,1.0,270.0,5,5,3,406,90,0,0,0,0,0,3,nan,0,5,2010,WD,Normal,154000,496,496
26,20,RL,110.0,14230,Pave,nan,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,7,5,PConc,7,5,1,2.0,0.0,2.0,0.0,1566.0,1566.0,GasA,10,1,5.0,1600,0,0,1600,0.0,0.0,2,0,3,1,7,7,10,1,Gd,Attchd,2007.0,3,3.0,890.0,5,5,3,0,56,0,0,0,0,0,0,nan,0,7,2009,WD,Normal,256300,56,56
27,20,RL,60.0,7200,Pave,nan,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,5,5,CBlock,5,5,2,3.0,234.0,5.5,486.0,180.0,900.0,GasA,5,1,5.0,900,0,0,900,0.0,1.0,1,0,3,1,7,5,10,0,nan,Detchd,2005.0,2,2.0,576.0,5,5,3,222,32,0,0,0,0,0,0,nan,0,5,2010,WD,Normal,134800,254,254
28,20,RL,98.0,11478,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,7,5,PConc,10,5,1,10.0,1218.0,2.0,0.0,486.0,1704.0,GasA,10,1,5.0,1704,0,0,1704,1.0,0.0,2,0,3,1,7,7,10,1,Gd,Attchd,2008.0,3,3.0,772.0,5,5,3,0,50,0,0,0,0,0,0,nan,0,5,2010,WD,Normal,306000,50,50
29,20,RL,47.0,16321,Pave,nan,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,5,5,CBlock,5,5,4,3.0,1277.0,2.0,0.0,207.0,1484.0,GasA,5,1,5.0,1600,0,0,1600,1.0,0.0,1,0,2,1,5,6,10,2,Gd,Attchd,1957.0,3,1.0,319.0,5,5,3,288,258,0,0,0,0,0,0,nan,0,12,2006,WD,Normal,207500,546,546
30,30,RM,60.0,6324,Pave,nan,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,5,5,BrkTil,5,5,1,2.0,0.0,2.0,0.0,520.0,520.0,GasA,3,0,5.0,520,0,0,520,0.0,0.0,1,0,1,1,3,4,10,0,nan,Detchd,1920.0,2,1.0,240.0,3,5,3,49,0,87,0,0,0,0,0,nan,0,5,2008,WD,Normal,68500,136,136
31,70,C (all),50.0,8500,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,5,3,BrkTil,5,5,1,2.0,0.0,2.0,0.0,649.0,649.0,GasA,5,0,5.0,649,668,0,1317,0.0,0.0,1,0,3,1,5,6,10,0,nan,Detchd,1920.0,2,1.0,250.0,5,3,2,0,54,172,0,0,0,0,3,nan,0,7,2008,WD,Normal,40000,226,226
32,20,RL,,8544,Pave,nan,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,5,5,CBlock,5,5,1,2.0,0.0,2.0,0.0,1228.0,1228.0,GasA,7,1,5.0,1228,0,0,1228,0.0,0.0,1,1,3,1,7,6,10,0,nan,Attchd,1966.0,2,1.0,271.0,5,5,3,0,65,0,0,0,0,0,3,nan,0,6,2008,WD,Normal,149350,65,65
33,20,RL,85.0,11049,Pave,nan,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,7,5,PConc,10,5,3,2.0,0.0,2.0,0.0,1234.0,1234.0,GasA,10,1,5.0,1234,0,0,1234,0.0,0.0,2,0,3,1,7,7,10,0,nan,Attchd,2007.0,3,2.0,484.0,5,5,3,0,30,0,0,0,0,0,0,nan,0,1,2008,WD,Normal,179900,30,30
34,20,RL,70.0,10552,Pave,nan,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,5,5,CBlock,5,5,1,5.5,1018.0,2.0,0.0,380.0,1398.0,GasA,7,1,5.0,1700,0,0,1700,0.0,1.0,1,1,4,1,7,6,10,1,Gd,Attchd,1959.0,3,2.0,447.0,5,5,3,0,38,0,0,0,0,0,0,nan,0,4,2010,WD,Normal,165500,38,38
35,120,RL,60.0,7313,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,10,5,PConc,10,5,1,10.0,1153.0,2.0,0.0,408.0,1561.0,GasA,10,1,5.0,1561,0,0,1561,1.0,0.0,2,0,2,1,10,6,10,1,Gd,Attchd,2005.0,5,2.0,556.0,5,5,3,203,47,0,0,0,0,0,0,nan,0,8,2007,WD,Normal,277500,250,250
36,60,RL,108.0,13418,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,7,5,PConc,10,5,3,2.0,0.0,2.0,0.0,1117.0,1117.0,GasA,10,1,5.0,1132,1320,0,2452,0.0,0.0,3,1,4,1,7,9,10,1,Gd,BuiltIn,2004.0,5,3.0,691.0,5,5,3,113,32,0,0,0,0,0,0,nan,0,9,2006,WD,Normal,309000,145,145
37,20,RL,112.0,10859,Pave,nan,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,5,5,PConc,7,5,1,2.0,0.0,2.0,0.0,1097.0,1097.0,GasA,10,1,5.0,1097,0,0,1097,0.0,0.0,1,1,3,1,5,6,10,0,nan,Attchd,1995.0,2,2.0,672.0,5,5,3,392,64,0,0,0,0,0,0,nan,0,6,2009,WD,Normal,145000,456,456
38,20,RL,74.0,8532,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,5,5,CBlock,5,5,1,5.5,1213.0,2.0,0.0,84.0,1297.0,GasA,7,1,5.0,1297,0,0,1297,0.0,1.0,1,0,3,1,5,5,10,1,TA,Attchd,1954.0,5,2.0,498.0,5,5,3,0,0,0,0,0,0,0,0,nan,0,10,2009,WD,Normal,153000,0,0
39,20,RL,68.0,7922,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,5,7,CBlock,5,5,1,10.0,731.0,2.0,0.0,326.0,1057.0,GasA,5,1,5.0,1057,0,0,1057,1.0,0.0,1,0,3,1,7,5,10,0,nan,Detchd,1953.0,2,1.0,246.0,5,5,3,0,52,0,0,0,0,0,0,nan,0,1,2010,WD,Abnorml,109000,52,52
40,90,RL,65.0,6040,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,5,5,PConc,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,GasA,5,0,2.0,1152,0,0,1152,0.0,0.0,2,0,2,2,3,6,10,0,nan,nan,,0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,nan,0,6,2008,WD,AdjLand,82000,0,0
41,20,RL,84.0,8658,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,5,5,CBlock,5,5,1,5.5,643.0,2.0,0.0,445.0,1088.0,GasA,10,1,5.0,1324,0,0,1324,0.0,0.0,2,0,3,1,5,6,10,1,TA,Attchd,1965.0,3,2.0,440.0,5,5,3,0,138,0,0,0,0,0,5,nan,0,12,2006,WD,Abnorml,160000,138,138
42,20,RL,115.0,16905,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,5,7,CBlock,5,5,4,3.0,967.0,2.0,0.0,383.0,1350.0,GasA,7,1,5.0,1328,0,0,1328,0.0,1.0,1,1,2,1,5,5,10,2,Gd,Attchd,1959.0,3,1.0,308.0,5,5,1,0,104,0,0,0,0,0,0,nan,0,7,2007,WD,Normal,170000,104,104
43,85,RL,,9180,Pave,nan,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,5,5,CBlock,7,5,3,5.0,747.0,1.0,93.0,0.0,840.0,GasA,7,1,5.0,884,0,0,884,1.0,0.0,1,0,2,1,7,5,10,0,nan,Attchd,1983.0,3,2.0,504.0,5,7,3,240,0,0,0,0,0,0,3,nan,0,12,2007,WD,Normal,144000,240,240
44,20,RL,,9200,Pave,nan,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0.0,5,5,CBlock,7,5,3,1.0,280.0,3.0,491.0,167.0,938.0,GasA,5,1,5.0,938,0,0,938,1.0,0.0,1,0,3,1,5,5,10,0,nan,Detchd,1977.0,2,1.0,308.0,5,5,3,145,0,0,0,0,0,0,3,nan,0,7,2008,WD,Normal,130250,145,145
45,20,RL,70.0,7945,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,5,5,CBlock,5,5,1,5.0,179.0,3.0,506.0,465.0,1150.0,GasA,10,1,3.0,1150,0,0,1150,1.0,0.0,1,0,3,1,5,6,10,0,nan,Attchd,1959.0,3,1.0,300.0,5,5,3,0,0,0,0,0,0,0,0,nan,0,5,2006,WD,Normal,141000,0,0
46,120,RL,61.0,7658,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,10,5,PConc,10,5,1,10.0,456.0,2.0,0.0,1296.0,1752.0,GasA,10,1,5.0,1752,0,0,1752,1.0,0.0,2,0,2,1,10,6,10,1,Gd,Attchd,2005.0,3,2.0,576.0,5,5,3,196,82,0,0,0,0,0,0,nan,0,2,2010,WD,Normal,319900,278,278
47,50,RL,48.0,12822,Pave,nan,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,7,5,PConc,10,5,1,10.0,1351.0,2.0,0.0,83.0,1434.0,GasA,10,1,5.0,1518,631,0,2149,1.0,0.0,1,1,1,1,7,6,10,1,Ex,Attchd,2003.0,3,2.0,670.0,5,5,3,168,43,0,0,198,0,0,0,nan,0,8,2009,WD,Abnorml,239686,409,409
48,20,FV,84.0,11096,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,7,5,PConc,7,5,3,10.0,24.0,2.0,0.0,1632.0,1656.0,GasA,10,1,5.0,1656,0,0,1656,0.0,0.0,2,0,3,1,7,7,10,0,nan,Attchd,2006.0,3,3.0,826.0,5,5,3,0,146,0,0,0,0,0,0,nan,0,7,2007,WD,Normal,249700,146,146
49,190,RM,33.0,4456,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,None,0.0,5,5,BrkTil,5,5,1,2.0,0.0,2.0,0.0,736.0,736.0,GasA,7,1,5.0,736,716,0,1452,0.0,0.0,2,0,2,3,5,8,10,0,nan,nan,,0,0.0,0.0,0,0,2,0,0,102,0,0,0,0,0,nan,0,6,2009,New,Partial,113000,102,102
