Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,total_Max_Porch_Area,total_Porch,Street_Alley,LotShape_LandContour,LotShape_LotConfig,LotShape_LandSlope,LotAreaPerFront,total_indoor_sqft,total_outdoor_sqft,total_in_out_sqft,in_per_out,area_per_finishes,no_finishes,no_finishes_perc,Condition1_Condition2,house_story,house_finish,YearBuilt_Age,Remodeled,YearRemodAdd_Age,YrBlt_YrRmd_Diff,YrSd_YrBlt,YrSd_YrRmd,Exterior1st_Exterior2nd,Foundation_MasVnrType,SaleCondition_SaleType,Bsmt_Unf_Per,Garage_per_Car_Cap,total_Ext_Ql_Cd,total_Bmt_Ql_Cd,total_Garage_Ql_Cd,total_Bmt_Fn_Area,Bsmt_Fsh_Per,avg_Ext_Qual,avg_Bmt_Qual,avg_Gar_Qual,total_All_Qualities,avg_All_Qualities,kfold
11,20,0,70.0,11200,0,-1,0,0,0,0,0,9,0,0,0,1,5,5,1965,1965,1,0,3,3,1,0.0,5,5,1,5,5,1,5.5,906.0,2.0,0.0,134.0,1040.0,0,10,1,5.0,1040,0,0,1040,1.0,0.0,1,0,3,1,5,5,10,0,-1,1,1965.0,2,1.0,384.0,5,5,3,0,0,0,0,0,0,0,0,-1,0,2,2008,0,0,129500,0,0,0,0,0,0,160.0,3120.0,11584.0,14704.0,0.26933701657458564,inf,14704.0,1.0,0,1.0,1,46,0.0,46,0,43,43,3,1,0,0.8711538461538462,192.0,10,18.5,14,906.0,0.12884615384615386,5.0,3.7,3.5,52.2,4.745454545454546,-1
12,60,0,85.0,11924,0,-1,1,0,0,0,0,10,0,0,0,0,9,5,2005,2006,1,0,4,2,2,286.0,10,5,0,10,5,1,10.0,998.0,2.0,0.0,177.0,1175.0,0,10,1,5.0,1182,1142,0,2324,1.0,0.0,3,0,4,1,10,11,10,2,1,2,2005.0,5,3.0,736.0,5,5,3,147,21,0,0,0,0,0,0,-1,0,7,2006,1,2,345000,168,168,0,1,2,1,140.2823529411765,5823.0,12660.0,18483.0,0.4599526066350711,inf,18483.0,1.0,0,2.0,1,6,1.0,5,1,1,0,4,3,2,0.8493617021276596,184.0,15,28.0,20,998.0,0.15063829787234045,7.5,5.6,5.0,69.1,6.281818181818181,-1
13,20,0,69.0,12968,0,-1,1,0,0,0,0,9,0,0,0,1,5,6,1962,1962,1,0,3,4,1,0.0,5,5,1,5,5,1,5.0,737.0,2.0,0.0,175.0,912.0,0,5,1,5.0,912,0,0,912,1.0,0.0,1,0,2,1,5,4,10,0,-1,1,1962.0,2,1.0,352.0,5,5,3,140,0,0,0,176,0,0,0,-1,0,9,2008,0,0,144000,316,316,0,1,2,1,129.625,2736.0,13320.0,16056.0,0.20540540540540544,inf,16056.0,1.0,0,1.0,1,49,0.0,49,0,46,46,2,1,0,0.8081140350877193,176.0,10,18.0,14,737.0,0.19188596491228072,5.0,3.6,3.5,48.1,4.372727272727273,-1
14,20,0,91.0,10652,0,-1,1,0,0,0,0,0,0,0,0,1,7,5,2006,2007,0,0,0,0,2,306.0,7,5,0,7,5,3,2.0,0.0,2.0,0.0,1494.0,1494.0,0,10,1,5.0,1494,0,0,1494,0.0,0.0,2,0,3,1,7,7,10,1,1,0,2006.0,3,3.0,840.0,5,5,3,160,33,0,0,0,0,0,0,-1,0,8,2007,1,2,279500,193,193,0,1,2,1,117.05494505494505,4482.0,11492.0,15974.0,0.3900104420466412,inf,15974.0,1.0,0,1.0,1,5,1.0,4,1,1,0,0,3,2,0.0,210.0,12,19.0,16,0.0,1.0,6.0,3.8,4.0,58.8,5.345454545454545,-1
15,20,0,69.0,10920,0,-1,1,0,0,2,0,11,0,0,0,1,6,5,1960,1960,1,0,1,1,0,212.0,5,5,1,5,5,1,3.0,733.0,2.0,0.0,520.0,1253.0,0,5,1,5.0,1253,0,0,1253,1.0,0.0,1,1,2,1,5,5,10,1,2,0,1960.0,3,1.0,352.0,5,5,3,0,213,176,0,0,0,0,5,-1,0,5,2008,0,0,157000,389,389,0,1,3,1,129.625,3759.0,11272.0,15031.0,0.3334811923349893,inf,15031.0,1.0,0,1.0,1,51,0.0,51,0,48,48,1,4,0,0.5849960095770151,176.0,10,16.0,16,733.0,0.4150039904229849,5.0,3.2,4.0,49.2,4.4727272727272736,-1
16,45,1,51.0,6120,0,-1,0,0,0,2,0,8,0,0,0,3,7,8,1929,2001,0,0,2,5,1,0.0,5,5,2,5,5,1,2.0,0.0,2.0,0.0,832.0,832.0,0,10,1,3.0,854,0,0,854,0.0,0.0,1,0,2,1,5,5,10,0,-1,1,1991.0,2,2.0,576.0,5,5,3,48,112,0,0,0,0,0,5,-1,0,7,2007,0,0,132000,160,160,0,0,4,0,120.0,2540.0,6696.0,9236.0,0.3793309438470729,inf,9236.0,1.0,0,1.5,0,82,1.0,10,72,78,6,5,2,0,0.0,192.0,10,15.0,14,0.0,1.0,5.0,3.0,3.5,54.5,4.954545454545454,-1
17,20,0,69.0,11241,0,-1,1,0,0,3,0,11,0,0,0,1,6,7,1970,1970,0,0,2,5,0,180.0,5,5,1,5,5,1,5.0,578.0,2.0,0.0,426.0,1004.0,0,10,1,5.0,1004,0,0,1004,1.0,0.0,1,0,2,1,5,5,10,1,0,0,1970.0,5,2.0,480.0,5,5,3,0,0,0,0,0,0,0,0,0,700,3,2010,0,0,149000,0,0,0,1,1,1,129.625,3012.0,11721.0,14733.0,0.2569746608651139,inf,14733.0,1.0,0,1.0,1,41,0.0,41,0,40,40,5,4,0,0.5756972111553785,160.0,10,18.0,20,578.0,0.4243027888446215,5.0,3.6,5.0,57.6,5.236363636363637,-1
18,90,0,72.0,10791,0,-1,0,0,0,0,0,9,0,0,2,1,4,5,1967,1967,0,0,1,1,1,0.0,5,5,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,1,5.0,1296,0,0,1296,0.0,0.0,2,0,2,2,5,6,10,0,-1,3,1967.0,2,2.0,516.0,5,5,3,0,0,0,0,0,0,0,0,0,500,10,2006,0,0,90000,0,0,0,0,0,0,149.875,2592.0,11307.0,13899.0,0.2292385248076413,inf,13899.0,1.0,0,1.0,1,44,0.0,44,0,39,39,1,2,0,0.5177304964539007,172.0,10,0.0,14,0.0,0.4822695035460993,5.0,0.0,3.5,42.5,3.863636363636364,-1
19,20,0,66.0,13695,0,-1,0,0,0,0,0,12,4,0,0,1,5,5,2004,2004,0,0,0,0,1,0.0,5,5,0,5,5,1,10.0,646.0,2.0,0.0,468.0,1114.0,0,10,1,5.0,1114,0,0,1114,1.0,0.0,1,1,3,1,7,6,10,0,-1,1,2004.0,2,2.0,576.0,5,5,3,0,102,0,0,0,0,0,0,-1,0,6,2008,0,0,159000,102,102,0,0,0,0,207.5,3342.0,14271.0,17613.0,0.2341812066428421,inf,17613.0,1.0,2,1.0,1,7,0.0,7,0,4,4,0,5,0,0.5798922800718133,192.0,10,23.0,14,646.0,0.4201077199281867,5.0,4.6,3.5,55.1,5.00909090909091,-1
20,20,0,70.0,7560,0,-1,0,0,0,0,0,11,0,0,0,1,5,6,1958,1965,1,0,4,4,1,0.0,5,5,1,5,5,1,1.0,504.0,2.0,0.0,525.0,1029.0,0,5,1,5.0,1339,0,0,1339,0.0,0.0,1,0,3,1,5,6,8,0,-1,0,1958.0,2,1.0,294.0,5,5,3,0,0,0,0,0,0,0,3,-1,0,5,2009,2,1,139000,0,0,0,0,0,0,108.0,3707.0,7854.0,11561.0,0.4719887955182073,inf,11561.0,1.0,0,1.0,1,53,1.0,46,7,51,44,2,1,3,0.4897959183673469,147.0,10,14.0,14,504.0,0.5102040816326531,5.0,2.8,3.5,45.3,4.118181818181818,-1
21,60,0,101.0,14215,0,-1,1,0,0,2,0,10,0,0,0,0,8,5,2005,2006,0,0,0,0,0,380.0,7,5,0,10,5,3,2.0,0.0,2.0,0.0,1158.0,1158.0,0,10,1,5.0,1158,1218,0,2376,0.0,0.0,3,1,4,1,7,9,10,1,1,2,2005.0,3,3.0,853.0,5,5,3,240,154,0,0,0,0,0,0,-1,0,11,2006,1,2,325300,394,394,0,1,3,1,140.74257425742573,5910.0,15068.0,20978.0,0.3922219272630741,inf,20978.0,1.0,0,2.0,1,6,1.0,5,1,1,0,0,0,2,0.0,213.25,12,22.0,16,0.0,1.0,6.0,4.4,4.0,60.4,5.490909090909091,-1
22,45,1,57.0,7449,0,0,0,1,0,0,0,13,0,0,0,3,7,7,1930,1950,0,0,2,5,1,0.0,5,5,0,5,5,1,2.0,0.0,2.0,0.0,637.0,637.0,0,10,1,4.0,1108,0,0,1108,0.0,0.0,1,0,3,1,7,6,10,1,1,0,1930.0,2,1.0,280.0,5,5,2,0,0,205,0,0,0,0,5,-1,0,6,2007,0,0,139400,205,205,1,2,0,0,130.68421052631578,2853.0,7729.0,10582.0,0.3691292534609911,inf,10582.0,1.0,0,1.5,0,81,1.0,61,20,77,57,5,5,0,0.0,140.0,10,15.0,14,0.0,1.0,5.0,3.0,3.5,57.5,5.227272727272728,-1
23,20,0,75.0,9742,0,-1,0,0,0,0,0,0,0,0,0,1,8,5,2002,2002,1,0,0,0,0,281.0,7,5,0,7,5,1,2.0,0.0,2.0,0.0,1777.0,1777.0,0,10,1,5.0,1795,0,0,1795,0.0,0.0,2,0,3,1,7,7,10,1,1,0,2002.0,3,2.0,534.0,5,5,3,171,159,0,0,0,0,0,0,-1,0,9,2008,0,0,230000,330,330,0,0,0,0,129.89333333333335,5367.0,10276.0,15643.0,0.5222849357726742,inf,15643.0,1.0,0,1.0,1,9,0.0,9,0,6,6,0,0,0,0.0,178.0,12,17.0,16,0.0,1.0,6.0,3.4,4.0,59.4,5.4,-1
24,120,1,44.0,4224,0,-1,0,0,0,0,0,14,0,0,3,1,5,7,1976,1976,0,0,5,6,1,0.0,5,5,0,7,5,1,10.0,840.0,2.0,0.0,200.0,1040.0,0,5,1,5.0,1060,0,0,1060,1.0,0.0,1,0,3,1,5,6,10,1,0,0,1976.0,2,2.0,572.0,5,5,3,100,110,0,0,0,0,0,0,-1,0,6,2007,0,0,129900,210,210,0,0,0,0,96.0,3160.0,4796.0,7956.0,0.658882402001668,inf,7956.0,1.0,0,1.0,1,35,0.0,35,0,31,31,2,5,0,0.8076923076923077,190.66666666666663,10,25.0,14,840.0,0.19230769230769232,5.0,5.0,3.5,51.5,4.681818181818182,-1
25,20,0,69.0,8246,0,-1,1,0,0,0,0,9,0,0,0,1,5,8,1968,2001,0,0,6,4,1,0.0,5,7,1,5,5,2,5.5,188.0,5.0,668.0,204.0,1060.0,0,10,1,5.0,1060,0,0,1060,1.0,0.0,1,0,3,1,7,6,10,1,0,0,1968.0,2,1.0,270.0,5,5,3,406,90,0,0,0,0,0,3,-1,0,5,2010,0,0,154000,496,496,0,1,2,1,129.625,3180.0,8516.0,11696.0,0.37341474870831376,inf,11696.0,1.0,0,1.0,1,43,1.0,10,33,42,9,6,1,0,0.8075471698113208,135.0,12,22.5,14,856.0,0.19245283018867929,6.0,4.5,3.5,60.0,5.454545454545454,-1
26,20,0,110.0,14230,0,-1,0,0,0,2,0,10,0,0,0,1,8,5,2007,2007,0,0,0,0,2,640.0,7,5,0,7,5,1,2.0,0.0,2.0,0.0,1566.0,1566.0,0,10,1,5.0,1600,0,0,1600,0.0,0.0,2,0,3,1,7,7,10,1,1,0,2007.0,3,3.0,890.0,5,5,3,0,56,0,0,0,0,0,0,-1,0,7,2009,0,0,256300,56,56,0,0,4,0,129.36363636363637,4766.0,15120.0,19886.0,0.3152116402116402,inf,19886.0,1.0,0,1.0,1,4,0.0,4,0,2,2,0,3,0,0.0,222.5,12,17.0,16,0.0,1.0,6.0,3.4,4.0,59.4,5.4,-1
27,20,0,60.0,7200,0,-1,0,0,0,2,0,11,0,0,0,1,5,7,1951,2000,0,0,2,5,1,0.0,5,5,1,5,5,2,3.0,234.0,5.5,486.0,180.0,900.0,0,5,1,5.0,900,0,0,900,0.0,1.0,1,0,3,1,7,5,10,0,-1,1,2005.0,2,2.0,576.0,5,5,3,222,32,0,0,0,0,0,0,-1,0,5,2010,0,0,134800,254,254,0,0,4,0,120.0,2700.0,7776.0,10476.0,0.3472222222222222,inf,10476.0,1.0,0,1.0,1,60,1.0,11,49,59,10,5,1,0,0.8,192.0,10,20.5,14,720.0,0.2,5.0,4.1,3.5,51.6,4.6909090909090905,-1
28,20,0,98.0,11478,0,-1,0,0,0,0,0,10,0,0,0,1,8,5,2007,2008,0,0,0,0,2,200.0,7,5,0,10,5,1,10.0,1218.0,2.0,0.0,486.0,1704.0,0,10,1,5.0,1704,0,0,1704,1.0,0.0,2,0,3,1,7,7,10,1,1,0,2008.0,3,3.0,772.0,5,5,3,0,50,0,0,0,0,0,0,-1,0,5,2010,0,0,306000,50,50,0,0,0,0,117.12244897959185,5112.0,12250.0,17362.0,0.4173061224489796,inf,17362.0,1.0,0,1.0,1,4,1.0,3,1,3,2,0,3,0,0.7147887323943662,193.0,12,28.0,16,1218.0,0.2852112676056338,6.0,5.6,4.0,61.6,5.6000000000000005,-1
29,20,0,47.0,16321,0,-1,1,0,0,3,0,11,0,0,0,1,5,6,1957,1997,0,0,1,1,1,0.0,5,5,1,5,5,4,3.0,1277.0,2.0,0.0,207.0,1484.0,0,5,1,5.0,1600,0,0,1600,1.0,0.0,1,0,2,1,5,6,10,2,1,0,1957.0,3,1.0,319.0,5,5,3,288,258,0,0,0,0,0,0,-1,0,12,2006,0,0,207500,546,546,0,1,1,1,347.25531914893617,4684.0,16640.0,21324.0,0.2814903846153846,inf,21324.0,1.0,0,1.0,1,54,1.0,14,40,49,9,1,1,0,0.8605121293800541,159.5,10,19.0,16,1277.0,0.13948787061994608,5.0,3.8,4.0,50.8,4.618181818181818,-1
30,30,1,60.0,6324,0,-1,1,0,0,0,0,8,1,2,0,1,4,6,1927,1950,0,0,1,1,1,0.0,5,5,2,5,5,1,2.0,0.0,2.0,0.0,520.0,520.0,0,3,0,5.0,520,0,0,520,0.0,0.0,1,0,1,1,3,4,10,0,-1,1,1920.0,2,1.0,240.0,3,5,3,49,0,87,0,0,0,0,0,-1,0,5,2008,0,0,68500,136,136,0,1,2,1,105.4,1560.0,6564.0,8124.0,0.2376599634369287,inf,8124.0,1.0,2,1.0,1,84,1.0,61,23,81,58,1,2,0,0.0,120.0,10,15.0,12,0.0,1.0,5.0,3.0,3.0,42.0,3.8181818181818175,-1
31,70,2,50.0,8500,0,1,0,0,0,0,0,13,1,0,0,0,4,4,1920,1950,2,0,4,2,1,0.0,5,3,2,5,5,1,2.0,0.0,2.0,0.0,649.0,649.0,0,5,0,5.0,649,668,0,1317,0.0,0.0,1,0,3,1,5,6,10,0,-1,1,1920.0,2,1.0,250.0,5,3,2,0,54,172,0,0,0,0,3,-1,0,7,2008,0,0,40000,226,226,2,0,0,0,170.0,3283.0,8750.0,12033.0,0.3752,inf,12033.0,1.0,1,2.0,1,91,1.0,61,30,88,58,4,2,0,0.0,125.0,8,15.0,12,0.0,1.0,4.0,3.0,3.0,43.0,3.9090909090909087,-1
32,20,0,69.0,8544,0,-1,1,0,0,3,0,9,0,0,0,1,5,6,1966,2006,0,0,3,3,1,0.0,5,5,1,5,5,1,2.0,0.0,2.0,0.0,1228.0,1228.0,0,7,1,5.0,1228,0,0,1228,0.0,0.0,1,1,3,1,7,6,10,0,-1,0,1966.0,2,1.0,271.0,5,5,3,0,65,0,0,0,0,0,3,-1,0,6,2008,0,0,149350,65,65,0,1,1,1,129.625,3684.0,8815.0,12499.0,0.4179239931934203,inf,12499.0,1.0,0,1.0,1,45,1.0,5,40,42,2,3,1,0,0.0,135.5,10,15.0,14,0.0,1.0,5.0,3.0,3.5,51.5,4.681818181818182,-1
33,20,0,85.0,11049,0,-1,0,0,0,2,0,0,0,0,0,1,8,5,2007,2007,0,0,0,0,1,0.0,7,5,0,10,5,3,2.0,0.0,2.0,0.0,1234.0,1234.0,0,10,1,5.0,1234,0,0,1234,0.0,0.0,2,0,3,1,7,7,10,0,-1,0,2007.0,3,2.0,484.0,5,5,3,0,30,0,0,0,0,0,0,-1,0,1,2008,0,0,179900,30,30,0,0,4,0,129.98823529411766,3702.0,11533.0,15235.0,0.32099193618312666,inf,15235.0,1.0,0,1.0,1,4,0.0,4,0,1,1,0,5,0,0.0,161.33333333333334,12,22.0,16,0.0,1.0,6.0,4.4,4.0,59.4,5.4,-1
34,20,0,70.0,10552,0,-1,1,0,0,0,0,11,0,0,0,1,5,5,1959,1959,1,0,4,2,1,0.0,5,5,1,5,5,1,5.5,1018.0,2.0,0.0,380.0,1398.0,0,7,1,5.0,1700,0,0,1700,0.0,1.0,1,1,4,1,7,6,10,1,1,0,1959.0,3,2.0,447.0,5,5,3,0,38,0,0,0,0,0,0,-1,0,4,2010,0,0,165500,38,38,0,1,2,1,150.74285714285713,4798.0,10999.0,15797.0,0.4362214746795163,inf,15797.0,1.0,0,1.0,1,52,0.0,52,0,51,51,4,1,0,0.7281831187410587,149.0,10,18.5,16,1018.0,0.2718168812589413,5.0,3.7,4.0,52.7,4.790909090909091,-1
35,120,0,60.0,7313,0,-1,0,0,0,0,0,10,0,0,3,1,9,5,2005,2005,1,0,1,1,0,246.0,10,5,0,10,5,1,10.0,1153.0,2.0,0.0,408.0,1561.0,0,10,1,5.0,1561,0,0,1561,1.0,0.0,2,0,2,1,10,6,10,1,1,0,2005.0,5,2.0,556.0,5,5,3,203,47,0,0,0,0,0,0,-1,0,8,2007,0,0,277500,250,250,0,0,0,0,121.88333333333334,4683.0,7869.0,12552.0,0.5951200914982844,inf,12552.0,1.0,0,1.0,1,6,0.0,6,0,2,2,1,0,0,0.7386290839205637,185.33333333333331,15,28.0,20,1153.0,0.26137091607943624,7.5,5.6,5.0,68.1,6.1909090909090905,-1
