Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,total_Max_Porch_Area,total_Porch,Street_Alley,LotShape_LandContour,LotShape_LotConfig,LotShape_LandSlope,LotAreaPerFront,total_indoor_sqft,total_outdoor_sqft,total_in_out_sqft,in_per_out,area_per_finishes,no_finishes,no_finishes_perc,Condition1_Condition2,house_story,house_finish,YearBuilt_Age,Remodeled,YearRemodAdd_Age,YrBlt_YrRmd_Diff,YrSd_YrBlt,YrSd_YrRmd,Exterior1st_Exterior2nd,Foundation_MasVnrType,SaleCondition_SaleType,Bsmt_Unf_Per,Garage_per_Car_Cap,total_Ext_Ql_Cd,total_Bmt_Ql_Cd,total_Garage_Ql_Cd,total_Bmt_Fn_Area,Bsmt_Fsh_Per,avg_Ext_Qual,avg_Bmt_Qual,avg_Gar_Qual,total_All_Qualities,avg_All_Qualities
11,20,RL,70.0,11200,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,5,5,CBlock,5,5,1,5.5,906.0,2.0,0.0,134.0,1040.0,GasA,10,1,5.0,1040,0,0,1040,1.0,0.0,1,0,3,1,5,5,10,0,nan,Detchd,1965.0,2,1.0,384.0,5,5,3,0,0,0,0,0,0,0,0,nan,0,2,2008,WD,Normal,129500,0,0,Pave_nan,Reg_Lvl,Reg_Inside,Reg_Gtl,160.0,3120.0,11584.0,14704.0,0.26933701657458564,inf,14704.0,1.0,Norm_Norm,1.0,1,46,0.0,46,0,43,43,HdBoard_HdBoard,CBlock_None,Normal_WD,0.8711538461538462,192.0,10,18.5,14,906.0,0.12884615384615383,5.0,3.7,3.5,52.2,4.745454545454546
12,60,RL,85.0,11924,Pave,nan,IReg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,RARE,RARE,RARE,286.0,10,5,PConc,10,5,1,10.0,998.0,2.0,0.0,177.0,1175.0,GasA,10,1,5.0,1182,1142,0,2324,1.0,0.0,3,0,4,1,10,11,10,2,Gd,BuiltIn,2005.0,5,3.0,736.0,5,5,3,147,21,0,0,0,0,0,0,nan,0,7,2006,New,Partial,345000,168,168,Pave_nan,IReg_Lvl,IReg_Inside,IReg_Gtl,140.28235294117647,5823.0,12660.0,18483.0,0.4599526066350711,inf,18483.0,1.0,Norm_Norm,2.0,1,6,1.0,5,1,1,0,RARE_RARE,RARE,Partial_New,0.8493617021276596,184.0,15,28.0,20,998.0,0.15063829787234043,7.5,5.6,5.0,69.1,6.281818181818181
13,20,RL,,12968,Pave,nan,IReg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,5,5,CBlock,5,5,1,5.0,737.0,2.0,0.0,175.0,912.0,GasA,5,1,5.0,912,0,0,912,1.0,0.0,1,0,2,1,5,4,10,0,nan,Detchd,1962.0,2,1.0,352.0,5,5,3,140,0,0,0,176,0,0,0,nan,0,9,2008,WD,Normal,144000,316,316,Pave_nan,IReg_Lvl,IReg_Inside,IReg_Gtl,,2736.0,13320.0,16056.0,0.20540540540540542,inf,16056.0,1.0,Norm_Norm,1.0,1,49,0.0,49,0,46,46,RARE,CBlock_None,Normal_WD,0.8081140350877193,176.0,10,18.0,14,737.0,0.19188596491228072,5.0,3.6,3.5,48.1,4.372727272727273
14,20,RL,91.0,10652,Pave,nan,IReg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,RARE,306.0,7,5,PConc,7,5,3,2.0,0.0,2.0,0.0,1494.0,1494.0,GasA,10,1,5.0,1494,0,0,1494,0.0,0.0,2,0,3,1,7,7,10,1,Gd,Attchd,2006.0,3,3.0,840.0,5,5,3,160,33,0,0,0,0,0,0,nan,0,8,2007,New,Partial,279500,193,193,Pave_nan,IReg_Lvl,IReg_Inside,IReg_Gtl,117.05494505494505,4482.0,11492.0,15974.0,0.39001044204664115,inf,15974.0,1.0,Norm_Norm,1.0,1,5,1.0,4,1,1,0,VinylSd_VinylSd,RARE,Partial_New,0.0,210.0,12,19.0,16,0.0,1.0,6.0,3.8,4.0,58.8,5.345454545454545
15,20,RL,,10920,Pave,nan,IReg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,5,5,CBlock,5,5,1,3.0,733.0,2.0,0.0,520.0,1253.0,GasA,5,1,5.0,1253,0,0,1253,1.0,0.0,1,1,2,1,5,5,10,1,Fa,Attchd,1960.0,3,1.0,352.0,5,5,3,0,213,176,0,0,0,0,5,nan,0,5,2008,WD,Normal,157000,389,389,Pave_nan,IReg_Lvl,IReg_Corner,IReg_Gtl,,3759.0,11272.0,15031.0,0.33348119233498935,inf,15031.0,1.0,Norm_Norm,1.0,1,51,0.0,51,0,48,48,MetalSd_MetalSd,CBlock_BrkFace,Normal_WD,0.5849960095770151,176.0,10,16.0,16,733.0,0.41500399042298486,5.0,3.2,4.0,49.2,4.472727272727273
16,45,RM,51.0,6120,Pave,nan,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,5,5,RARE,5,5,1,2.0,0.0,2.0,0.0,832.0,832.0,GasA,10,1,3.0,854,0,0,854,0.0,0.0,1,0,2,1,5,5,10,0,nan,Detchd,1991.0,2,2.0,576.0,5,5,3,48,112,0,0,0,0,0,5,nan,0,7,2007,WD,Normal,132000,160,160,Pave_nan,Reg_Lvl,Reg_Corner,Reg_Gtl,120.0,2540.0,6696.0,9236.0,0.3793309438470729,inf,9236.0,1.0,Norm_Norm,1.5,0,82,1.0,10,72,78,6,Wd Sdng_Wd Sdng,RARE_None,Normal_WD,0.0,192.0,10,15.0,14,0.0,1.0,5.0,3.0,3.5,54.5,4.954545454545454
17,20,RL,,11241,Pave,nan,IReg,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,5,5,CBlock,5,5,1,5.0,578.0,2.0,0.0,426.0,1004.0,GasA,10,1,5.0,1004,0,0,1004,1.0,0.0,1,0,2,1,5,5,10,1,TA,Attchd,1970.0,5,2.0,480.0,5,5,3,0,0,0,0,0,0,0,0,Shed,700,3,2010,WD,Normal,149000,0,0,Pave_nan,IReg_Lvl,RARE,IReg_Gtl,,3012.0,11721.0,14733.0,0.2569746608651139,inf,14733.0,1.0,Norm_Norm,1.0,1,41,0.0,41,0,40,40,Wd Sdng_Wd Sdng,CBlock_BrkFace,Normal_WD,0.5756972111553785,160.0,10,18.0,20,578.0,0.4243027888446215,5.0,3.6,5.0,57.6,5.236363636363636
18,90,RL,72.0,10791,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,5,5,RARE,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,GasA,5,1,5.0,1296,0,0,1296,0.0,0.0,2,0,2,2,5,6,10,0,nan,RARE,1967.0,2,2.0,516.0,5,5,3,0,0,0,0,0,0,0,0,Shed,500,10,2006,WD,Normal,90000,0,0,Pave_nan,Reg_Lvl,Reg_Inside,Reg_Gtl,149.875,2592.0,11307.0,13899.0,0.2292385248076413,inf,13899.0,1.0,Norm_Norm,1.0,1,44,0.0,44,0,39,39,MetalSd_MetalSd,RARE_None,Normal_WD,,172.0,10,0.0,14,0.0,,5.0,0.0,3.5,42.5,3.8636363636363638
19,20,RL,66.0,13695,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,5,5,PConc,5,5,1,10.0,646.0,2.0,0.0,468.0,1114.0,GasA,10,1,5.0,1114,0,0,1114,1.0,0.0,1,1,3,1,7,6,10,0,nan,Detchd,2004.0,2,2.0,576.0,5,5,3,0,102,0,0,0,0,0,0,nan,0,6,2008,WD,Normal,159000,102,102,Pave_nan,Reg_Lvl,Reg_Inside,Reg_Gtl,207.5,3342.0,14271.0,17613.0,0.23418120664284212,inf,17613.0,1.0,RARE,1.0,1,7,0.0,7,0,4,4,VinylSd_VinylSd,PConc_None,Normal_WD,0.5798922800718133,192.0,10,23.0,14,646.0,0.42010771992818674,5.0,4.6,3.5,55.1,5.009090909090909
20,20,RL,70.0,7560,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,RARE,Plywood,None,0.0,5,5,CBlock,5,5,1,1.0,504.0,2.0,0.0,525.0,1029.0,GasA,5,1,5.0,1339,0,0,1339,0.0,0.0,1,0,3,1,5,6,8,0,nan,Attchd,1958.0,2,1.0,294.0,5,5,3,0,0,0,0,0,0,0,3,nan,0,5,2009,RARE,RARE,139000,0,0,Pave_nan,Reg_Lvl,Reg_Inside,Reg_Gtl,108.0,3707.0,7854.0,11561.0,0.47198879551820727,inf,11561.0,1.0,Norm_Norm,1.0,1,53,1.0,46,7,51,44,RARE,CBlock_None,RARE,0.4897959183673469,147.0,10,14.0,14,504.0,0.5102040816326531,5.0,2.8,3.5,45.3,4.118181818181818
21,60,RL,101.0,14215,Pave,nan,IReg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,7,5,PConc,10,5,3,2.0,0.0,2.0,0.0,1158.0,1158.0,GasA,10,1,5.0,1158,1218,0,2376,0.0,0.0,3,1,4,1,7,9,10,1,Gd,BuiltIn,2005.0,3,3.0,853.0,5,5,3,240,154,0,0,0,0,0,0,nan,0,11,2006,New,Partial,325300,394,394,Pave_nan,IReg_Lvl,IReg_Corner,IReg_Gtl,140.74257425742573,5910.0,15068.0,20978.0,0.3922219272630741,inf,20978.0,1.0,Norm_Norm,2.0,1,6,1.0,5,1,1,0,VinylSd_VinylSd,PConc_BrkFace,Partial_New,0.0,213.25,12,22.0,16,0.0,1.0,6.0,4.4,4.0,60.4,5.490909090909091
22,45,RM,57.0,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,5,5,PConc,5,5,1,2.0,0.0,2.0,0.0,637.0,637.0,GasA,10,1,4.0,1108,0,0,1108,0.0,0.0,1,0,3,1,7,6,10,1,Gd,Attchd,1930.0,2,1.0,280.0,5,5,2,0,0,205,0,0,0,0,5,nan,0,6,2007,WD,Normal,139400,205,205,Pave_Grvl,Reg_Bnk,Reg_Inside,Reg_Gtl,130.68421052631578,2853.0,7729.0,10582.0,0.36912925346099107,inf,10582.0,1.0,Norm_Norm,1.5,0,81,1.0,61,20,77,57,Wd Sdng_Wd Sdng,PConc_None,Normal_WD,0.0,140.0,10,15.0,14,0.0,1.0,5.0,3.0,3.5,57.5,5.2272727272727275
23,20,RL,75.0,9742,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,7,5,PConc,7,5,1,2.0,0.0,2.0,0.0,1777.0,1777.0,GasA,10,1,5.0,1795,0,0,1795,0.0,0.0,2,0,3,1,7,7,10,1,Gd,Attchd,2002.0,3,2.0,534.0,5,5,3,171,159,0,0,0,0,0,0,nan,0,9,2008,WD,Normal,230000,330,330,Pave_nan,Reg_Lvl,Reg_Inside,Reg_Gtl,129.89333333333335,5367.0,10276.0,15643.0,0.5222849357726742,inf,15643.0,1.0,Norm_Norm,1.0,1,9,0.0,9,0,6,6,VinylSd_VinylSd,PConc_BrkFace,Normal_WD,0.0,178.0,12,17.0,16,0.0,1.0,6.0,3.4,4.0,59.4,5.3999999999999995
24,120,RM,44.0,4224,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,5,5,PConc,7,5,1,10.0,840.0,2.0,0.0,200.0,1040.0,GasA,5,1,5.0,1060,0,0,1060,1.0,0.0,1,0,3,1,5,6,10,1,TA,Attchd,1976.0,2,2.0,572.0,5,5,3,100,110,0,0,0,0,0,0,nan,0,6,2007,WD,Normal,129900,210,210,Pave_nan,Reg_Lvl,Reg_Inside,Reg_Gtl,96.0,3160.0,4796.0,7956.0,0.658882402001668,inf,7956.0,1.0,Norm_Norm,1.0,1,35,0.0,35,0,31,31,RARE,PConc_None,Normal_WD,0.8076923076923077,190.66666666666666,10,25.0,14,840.0,0.19230769230769232,5.0,5.0,3.5,51.5,4.681818181818182
25,20,RL,,8246,Pave,nan,IReg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,5,7,CBlock,5,5,2,5.5,188.0,5.0,668.0,204.0,1060.0,GasA,10,1,5.0,1060,0,0,1060,1.0,0.0,1,0,3,1,7,6,10,1,TA,Attchd,1968.0,2,1.0,270.0,5,5,3,406,90,0,0,0,0,0,3,nan,0,5,2010,WD,Normal,154000,496,496,Pave_nan,IReg_Lvl,IReg_Inside,IReg_Gtl,,3180.0,8516.0,11696.0,0.37341474870831376,inf,11696.0,1.0,Norm_Norm,1.0,1,43,1.0,10,33,42,9,Plywood_Plywood,CBlock_None,Normal_WD,0.8075471698113208,135.0,12,22.5,14,856.0,0.19245283018867926,6.0,4.5,3.5,60.0,5.454545454545454
26,20,RL,110.0,14230,Pave,nan,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,RARE,640.0,7,5,PConc,7,5,1,2.0,0.0,2.0,0.0,1566.0,1566.0,GasA,10,1,5.0,1600,0,0,1600,0.0,0.0,2,0,3,1,7,7,10,1,Gd,Attchd,2007.0,3,3.0,890.0,5,5,3,0,56,0,0,0,0,0,0,nan,0,7,2009,WD,Normal,256300,56,56,Pave_nan,Reg_Lvl,Reg_Corner,Reg_Gtl,129.36363636363637,4766.0,15120.0,19886.0,0.3152116402116402,inf,19886.0,1.0,Norm_Norm,1.0,1,4,0.0,4,0,2,2,VinylSd_VinylSd,RARE,Normal_WD,0.0,222.5,12,17.0,16,0.0,1.0,6.0,3.4,4.0,59.4,5.3999999999999995
27,20,RL,60.0,7200,Pave,nan,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,5,5,CBlock,5,5,2,3.0,234.0,5.5,486.0,180.0,900.0,GasA,5,1,5.0,900,0,0,900,0.0,1.0,1,0,3,1,7,5,10,0,nan,Detchd,2005.0,2,2.0,576.0,5,5,3,222,32,0,0,0,0,0,0,nan,0,5,2010,WD,Normal,134800,254,254,Pave_nan,Reg_Lvl,Reg_Corner,Reg_Gtl,120.0,2700.0,7776.0,10476.0,0.3472222222222222,inf,10476.0,1.0,Norm_Norm,1.0,1,60,1.0,11,49,59,10,Wd Sdng_Wd Sdng,CBlock_None,Normal_WD,0.8,192.0,10,20.5,14,720.0,0.2,5.0,4.1,3.5,51.6,4.690909090909091
