Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,total_Max_Porch_Area,total_Porch,Street_Alley,LotShape_LandContour,LotShape_LotConfig,LotShape_LandSlope,LotAreaPerFront,total_indoor_sqft,total_outdoor_sqft,total_in_out_sqft,in_per_out,area_per_finishes,no_finishes,no_finishes_perc,Condition1_Condition2,house_story,house_finish,YearBuilt_Age,Remodeled,YearRemodAdd_Age,YrBlt_YrRmd_Diff,YrSd_YrBlt,YrSd_YrRmd,Exterior1st_Exterior2nd,Foundation_MasVnrType,SaleCondition_SaleType,Bsmt_Unf_Per,Garage_per_Car_Cap,total_Ext_Ql_Cd,total_Bmt_Ql_Cd,total_Garage_Ql_Cd,total_Bmt_Fn_Area,Bsmt_Fsh_Per,avg_Ext_Qual,avg_Bmt_Qual,avg_Gar_Qual,total_All_Qualities,avg_All_Qualities,LivLotRatio,Spaciousness,PorchTypes,indoor_Cluster,outdoor_Cluster,in_out_Cluster,Ext_Q_Cd_Cluster,Bmt_Ql_Cd_Cluster,Bmt_F_A_Cluster,Gar_Q_Cd_Cluster,All_Q_Cluster,Cen_indoor_0,Cen_indoor_1,Cen_indoor_2,Cen_indoor_3,Cen_outdoor_0,Cen_outdoor_1,Cen_outdoor_2,Cen_outdoor_3,Cen_in_out_0,Cen_in_out_1,Cen_in_out_2,Cen_in_out_3,Cen_All_Q_0,Cen_All_Q_1,Cen_All_Q_2,Cen_All_Q_3,SalePrice
11,20,0,70.0,11200,0,-1,0,0,0,0,0,9,0,0,0,1,5,5,1965,1965,1,0,3,3,1,0.0,5,5,1,5,5,1,5.5,906.0,2.0,0.0,134.0,1040.0,0,10,1,5.0,1040,0,0,1040,1.0,0.0,1,0,3,1,5,5,10,0,-1,1,1965.0,2,1.0,384.0,5,5,3,0,0,0,0,0,0,0,0,-1,0,2,2008,0,0,0,0,0,0,0,0,160.0,3120.0,11584.0,14704.0,0.26933701657458564,inf,14704.0,1.0,0,1.0,1,46,0.0,46,0,43,43,3,1,0,0.8711538461538462,192.0,10,18.5,14,906.0,0.12884615384615386,5.0,3.7,3.5,52.2,4.745454545454546,0.09285714285714286,208.0,0,0,2,0,1,3,2,1,1,0.3154281935522229,3.8421219609173103,2.088746913133468,2.3881143706513646,0.8364256672669632,1.9261829195587716,0.6002043527229367,19.325974046650295,0.7681139398032759,2.914682072471492,2.5827793821874967,19.54923025899134,4.107260815284179,1.615067766566486,3.574184198284201,3.030101354622345,129500
12,60,0,85.0,11924,0,-1,1,0,0,0,0,10,0,0,0,0,9,5,2005,2006,1,0,4,2,2,286.0,10,5,0,10,5,1,10.0,998.0,2.0,0.0,177.0,1175.0,0,10,1,5.0,1182,1142,0,2324,1.0,0.0,3,0,4,1,10,11,10,2,1,2,2005.0,5,3.0,736.0,5,5,3,147,21,0,0,0,0,0,0,-1,0,7,2006,1,2,168,168,0,1,2,1,140.2823529411765,5823.0,12660.0,18483.0,0.4599526066350711,inf,18483.0,1.0,0,2.0,1,6,1.0,5,1,1,0,4,3,2,0.8493617021276596,184.0,15,28.0,20,998.0,0.15063829787234045,7.5,5.6,5.0,69.1,6.281818181818181,0.1949010399194901,211.27272727272728,2,1,1,1,3,2,2,2,2,3.708005259778743,0.4346704858519952,2.2330054223426257,3.3036801444252193,2.4179059371442775,0.4605533246720596,1.1323998429828697,19.241136874642795,3.9170359534812915,1.441401585054629,3.245140295619253,19.46027212677545,8.01728089928701,6.901239711796774,3.4096884504994,5.601756608861901,345000
13,20,0,0.0,12968,0,-1,1,0,0,0,0,9,0,0,0,1,5,6,1962,1962,1,0,3,4,1,0.0,5,5,1,5,5,1,5.0,737.0,2.0,0.0,175.0,912.0,0,5,1,5.0,912,0,0,912,1.0,0.0,1,0,2,1,5,4,10,0,-1,1,1962.0,2,1.0,352.0,5,5,3,140,0,0,0,176,0,0,0,-1,0,9,2008,0,0,316,316,0,1,2,1,0.0,2736.0,13320.0,16056.0,0.20540540540540544,inf,16056.0,1.0,0,1.0,1,49,0.0,49,0,46,46,2,1,0,0.8081140350877193,176.0,10,18.0,14,737.0,0.19188596491228072,5.0,3.6,3.5,48.1,4.372727272727273,0.0703269586674892,228.0,2,0,2,0,1,3,3,1,1,0.43501679979269753,4.1341822339906305,2.107577913518696,2.8918083431418116,0.8565973566364395,2.0286221883803788,0.8386651832197303,19.10826338679477,0.8355198833444613,3.1389468228082245,3.1006230326690143,19.415404831552845,3.795919209862363,0.9254641632868943,4.179473559932688,2.7630624187664825,144000
14,20,0,91.0,10652,0,-1,1,0,0,0,0,0,0,0,0,1,7,5,2006,2007,0,0,0,0,2,306.0,7,5,0,7,5,3,2.0,0.0,2.0,0.0,1494.0,1494.0,0,10,1,5.0,1494,0,0,1494,0.0,0.0,2,0,3,1,7,7,10,1,1,0,2006.0,3,3.0,840.0,5,5,3,160,33,0,0,0,0,0,0,-1,0,8,2007,1,2,193,193,0,1,2,1,117.05494505494505,4482.0,11492.0,15974.0,0.3900104420466412,inf,15974.0,1.0,0,1.0,1,5,1.0,4,1,1,0,0,3,2,0.0,210.0,12,19.0,16,0.0,1.0,6.0,3.8,4.0,58.8,5.345454545454545,0.14025535110777318,213.42857142857142,2,3,1,2,0,3,0,3,2,1.9715993967603216,3.256571785523934,2.8615744692088474,0.6134507459241689,2.868886638529378,0.615156925921721,1.5745615335991976,19.430546772715985,3.1754340579724825,3.222674096510489,1.164510017059169,19.471715523593613,5.138214489061991,3.5862432303525518,1.327728365855986,2.3627164194730836,279500
15,20,0,0.0,10920,0,-1,1,0,0,2,0,11,0,0,0,1,6,5,1960,1960,1,0,1,1,0,212.0,5,5,1,5,5,1,3.0,733.0,2.0,0.0,520.0,1253.0,0,5,1,5.0,1253,0,0,1253,1.0,0.0,1,1,2,1,5,5,10,1,2,0,1960.0,3,1.0,352.0,5,5,3,0,213,176,0,0,0,0,5,-1,0,5,2008,0,0,389,389,0,1,3,1,0.0,3759.0,11272.0,15031.0,0.3334811923349893,inf,15031.0,1.0,0,1.0,1,51,0.0,51,0,48,48,1,4,0,0.5849960095770151,176.0,10,16.0,16,733.0,0.4150039904229849,5.0,3.2,4.0,49.2,4.4727272727272736,0.11474358974358974,250.6,2,0,0,0,1,3,3,3,3,1.0386764778066018,3.4661303661650065,2.3151808601324215,1.5512151632423548,0.6902780747855153,2.07879792504286,0.7279723754664449,19.367657112208597,1.346629441216771,2.8446055239970294,1.9626805833039196,19.485046529341584,4.610403101384773,3.463028486137621,3.8723554640835327,1.70549319253416,157000
16,45,1,51.0,6120,0,-1,0,0,0,2,0,8,0,0,0,3,7,8,1929,2001,0,0,2,5,1,0.0,5,5,2,5,5,1,2.0,0.0,2.0,0.0,832.0,832.0,0,10,1,3.0,854,0,0,854,0.0,0.0,1,0,2,1,5,5,10,0,-1,1,1991.0,2,2.0,576.0,5,5,3,48,112,0,0,0,0,0,5,-1,0,7,2007,0,0,160,160,0,0,4,0,120.0,2540.0,6696.0,9236.0,0.3793309438470729,inf,9236.0,1.0,0,1.5,0,82,1.0,10,72,78,6,5,2,0,0.0,192.0,10,15.0,14,0.0,1.0,5.0,3.0,3.5,54.5,4.954545454545454,0.13954248366013072,170.8,2,0,2,0,1,3,0,1,0,0.6410147048640039,4.289047232390438,2.1507147785603418,3.1471176361230757,1.642881737379907,1.494337374033219,0.5287388340245153,19.956681414541407,1.2766731021339373,3.1821419823989467,3.1827556564533923,20.295002017197344,3.4179450105561453,4.6480742374275525,5.621797580050525,5.2101161000770375,132000
17,20,0,0.0,11241,0,-1,1,0,0,3,0,11,0,0,0,1,6,7,1970,1970,0,0,2,5,0,180.0,5,5,1,5,5,1,5.0,578.0,2.0,0.0,426.0,1004.0,0,10,1,5.0,1004,0,0,1004,1.0,0.0,1,0,2,1,5,5,10,1,0,0,1970.0,5,2.0,480.0,5,5,3,0,0,0,0,0,0,0,0,0,700,3,2010,0,0,0,0,0,1,1,1,0.0,3012.0,11721.0,14733.0,0.2569746608651139,inf,14733.0,1.0,0,1.0,1,41,0.0,41,0,40,40,5,4,0,0.5756972111553785,160.0,10,18.0,20,578.0,0.4243027888446215,5.0,3.6,5.0,57.6,5.236363636363637,0.08931589716217418,200.8,0,0,2,0,1,3,3,2,3,0.27068093058838455,3.9199008775131463,2.0817350585598815,2.5297425521230745,1.2474129420636326,1.4981174613841357,0.2663182164998686,19.30895704372495,0.9240266838528293,2.8845733706231544,2.5591767971287482,19.553779441844284,4.852749668420118,3.021936898626055,3.244936241228906,2.1953910505876078,149000
18,90,0,72.0,10791,0,-1,0,0,0,0,0,9,0,0,2,1,4,5,1967,1967,0,0,1,1,1,0.0,5,5,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,1,5.0,1296,0,0,1296,0.0,0.0,2,0,2,2,5,6,10,0,-1,3,1967.0,2,2.0,516.0,5,5,3,0,0,0,0,0,0,0,0,0,500,10,2006,0,0,0,0,0,0,0,0,149.875,2592.0,11307.0,13899.0,0.2292385248076413,inf,13899.0,1.0,0,1.0,1,44,0.0,44,0,39,39,1,2,0,0.0,172.0,10,0.0,14,0.0,0.0,5.0,0.0,3.5,42.5,3.863636363636364,0.12010008340283569,216.0,0,0,2,0,1,0,0,1,1,2.1981124592833448,4.360456609051436,2.676926580948557,3.8039071149031383,1.390976103616596,1.3629300691202753,0.19773719195101283,19.364225815116228,2.294667376926785,3.3580635854165553,3.7668883383725045,19.814823589868606,4.483320663184776,3.268716822782473,5.914947511175117,4.342264656163839,90000
19,20,0,66.0,13695,0,-1,0,0,0,0,0,12,4,0,0,1,5,5,2004,2004,0,0,0,0,1,0.0,5,5,0,5,5,1,10.0,646.0,2.0,0.0,468.0,1114.0,0,10,1,5.0,1114,0,0,1114,1.0,0.0,1,1,3,1,7,6,10,0,-1,1,2004.0,2,2.0,576.0,5,5,3,0,102,0,0,0,0,0,0,-1,0,6,2008,0,0,102,102,0,0,0,0,207.5,3342.0,14271.0,17613.0,0.2341812066428421,inf,17613.0,1.0,2,1.0,1,7,0.0,7,0,4,4,0,5,0,0.5798922800718133,192.0,10,23.0,14,646.0,0.4201077199281867,5.0,4.6,3.5,55.1,5.00909090909091,0.08134355604235122,185.66666666666666,1,0,2,0,1,2,3,1,1,0.5290544952935692,3.6942402094209297,2.1329479614464484,2.097110930160003,1.7761365651302587,0.9873051157104354,0.6519133525745916,18.99627034024848,1.5091239037211492,2.7933885467173827,2.057901333152837,19.181940158087723,4.482935673676219,2.1439176825206396,3.0426561571876993,3.278157771625918,159000
20,20,0,70.0,7560,0,-1,0,0,0,0,0,11,0,0,0,1,5,6,1958,1965,1,0,4,4,1,0.0,5,5,1,5,5,1,1.0,504.0,2.0,0.0,525.0,1029.0,0,5,1,5.0,1339,0,0,1339,0.0,0.0,1,0,3,1,5,6,8,0,-1,0,1958.0,2,1.0,294.0,5,5,3,0,0,0,0,0,0,0,3,-1,0,5,2009,2,1,0,0,0,0,0,0,108.0,3707.0,7854.0,11561.0,0.4719887955182073,inf,11561.0,1.0,0,1.0,1,53,1.0,46,7,51,44,2,1,3,0.4897959183673469,147.0,10,14.0,14,504.0,0.5102040816326531,5.0,2.8,3.5,45.3,4.118181818181818,0.17711640211640212,223.16666666666666,0,0,0,0,1,3,3,1,1,0.987674053452981,3.370817620387118,2.190284233918222,1.6645577723243161,0.3221613975853306,2.4711016239978343,0.9929957347092417,19.807081135373092,1.2515032262489139,2.8540030247300656,2.286757348190997,19.929880811368772,3.898286180475835,1.7993593363992355,4.705328294957788,3.1331783485457674,139000
21,60,0,101.0,14215,0,-1,1,0,0,2,0,10,0,0,0,0,8,5,2005,2006,0,0,0,0,0,380.0,7,5,0,10,5,3,2.0,0.0,2.0,0.0,1158.0,1158.0,0,10,1,5.0,1158,1218,0,2376,0.0,0.0,3,1,4,1,7,9,10,1,1,2,2005.0,3,3.0,853.0,5,5,3,240,154,0,0,0,0,0,0,-1,0,11,2006,1,2,394,394,0,1,3,1,140.74257425742573,5910.0,15068.0,20978.0,0.3922219272630741,inf,20978.0,1.0,0,2.0,1,6,1.0,5,1,1,0,0,0,2,0.0,213.25,12,22.0,16,0.0,1.0,6.0,4.4,4.0,60.4,5.490909090909091,0.1671473795286669,264.0,2,1,1,1,0,2,0,3,2,3.8929238499642733,0.5277875170576445,2.352317486726546,3.518090687615112,3.013564564160126,0.3318435997610024,1.74054124663714,18.98444049947425,4.3767311639407405,1.9620312312710682,3.588797343796656,19.238362508453896,5.48407588672486,3.9642016613585644,1.0885156483030909,2.7637923956224237,325300
22,45,1,57.0,7449,0,0,0,1,0,0,0,13,0,0,0,3,7,7,1930,1950,0,0,2,5,1,0.0,5,5,0,5,5,1,2.0,0.0,2.0,0.0,637.0,637.0,0,10,1,4.0,1108,0,0,1108,0.0,0.0,1,0,3,1,7,6,10,1,1,0,1930.0,2,1.0,280.0,5,5,2,0,0,205,0,0,0,0,5,-1,0,6,2007,0,0,205,205,1,2,0,0,130.68421052631578,2853.0,7729.0,10582.0,0.3691292534609911,inf,10582.0,1.0,0,1.5,0,81,1.0,61,20,77,57,5,5,0,0.0,140.0,10,15.0,14,0.0,1.0,5.0,3.0,3.5,57.5,5.227272727272728,0.14874479795945764,184.66666666666666,1,0,0,0,1,3,0,1,3,0.6340230281293872,3.915082288207904,1.9905175366416774,2.8239040086039093,0.2622953490282458,2.536489268522679,1.059452879913185,19.82501535976451,0.7743261018973104,3.087867767765369,3.2369724722748896,20.10358032803951,3.9270857846501053,3.915975842347744,3.529864347420473,2.9814889240515776,139400
