MSSubClass,MSZoning,LotFrontage,LotArea,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrType,MasVnrArea,ExterCond,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,Neighborhood_mapped,rare_Exterior1st,rare_Exterior2nd,rare_Alley,rare_Condition1,rare_SaleType,rare_RoofStyle,rare_LotShape,rare_LandContour,rare_LandSlope,rare_Foundation,MasExist,AirCon,Electrical_SBrkr,Functional_Typ,GarageType_InHome,PavedDrive1,HasFence,MiscFeature1,SaleType_New_House,SaleCon_Normal,HasPool,Has2ndFloor,HasFireplace,total_Utility_Count,SqFtPerRoom,Total_Home_Quality,Product_Home_Quality,Total_Bathrooms,TotalSF,TotalPorchSF,YearBlRm,TotalExtQual,ProductExtQual,TotalBsmQual_And_Fin,TotalBsmQual,ProductBsmQual,TotalBsmFin,TotalGrgQual,ProductGrgQual,TotalQual,QualGr,QualPorch,QualExt,QualGrg,QlLivArea,QualSFNg,ProBsmQualPerTotFin,Age_YrBuilt,Age_YrRmd,Diff_YrRmd_YrBlt,Age_GarageYrBlt,Diff_GarYBlt_YrBlt,LivLotRatio,Spaciousness,GrArea+Basement,YrRemod*Basement,Count_OutSideSF,Rat_Out_Count,total_Area,Count_Areas,Rat_Areas_Count,total_Floors,Count_Floors,Rat_Floors_Count,Tot_Bsmt_per_Fin,OverallCond_Price_grade,space_Cluster,Areas_Cluster,Floors_Cluster,OutsideSF_Cluster,OverAll_QC_Cluster,YrBlt_Cluster,SalePrice,Predicted,is_train
20,RL,70.0,11200,Sawyer,1Fam,1Story,5,5,1965.0,1965.0,None,0.0,3,3,No,3,906.0,1,0.0,134.0,1040.0,1040,0,0,1040,1.0,0.0,1,0,3,1,5,0,0,Detchd,1965.0,Unf,1.0,384.0,3,Y,0,0,0,0,0,0,0,3,HdBoard,HdBoard,None,Norm,WD,Hip,Reg,Lvl,Gtl,CBlock,0,1,1,1,0,1,0,0,0,1,0,0,0,5,148.57142857142858,10,25,2.0,1946.0,0,3930.0,6,9,10,6,9,4,6,9,35,36400,0,0.0,2304.0,36400,109200,2.25,43.0,43.0,0.0,43.0,0.0,0.09285714285714286,208.0,2080.0,2043600.0,0,0.0,13664.0,4,3416.0,1040,1,1040.0,260.0,2,1,1,7,3,2,1,129500.0,130630.65804133797,Yes
60,RL,85.0,11924,NridgHt,1Fam,2Story,9,5,2005.0,2006.0,Stone,286.0,3,3,No,6,998.0,1,0.0,177.0,1175.0,1182,1142,0,2324,1.0,0.0,3,0,4,1,11,2,4,BuiltIn,2005.0,Fin,3.0,736.0,3,Y,147,21,0,0,0,0,0,10,RARE,Wd Shng,None,Norm,New,Hip,IR1,Lvl,Gtl,PConc,1,1,1,1,1,1,0,0,1,1,0,1,1,9,154.93333333333334,14,45,4.0,3322.0,168,4011.0,8,15,15,8,15,7,6,9,48,111552,1344,2288.0,4416.0,111552,1115520,2.142857142857143,1.0,0.0,1.0,1.0,0.0,0.1949010399194901,211.27272727272728,3499.0,2357050.0,2,84.0,16445.0,5,3289.0,2324,2,1162.0,167.85714285714286,2,5,0,0,5,3,0,345000.0,365068.99540684326,Yes
20,RL,82.0,12968,Sawyer,1Fam,1Story,5,6,1962.0,1962.0,None,0.0,3,3,No,5,737.0,1,0.0,175.0,912.0,912,0,0,912,1.0,0.0,1,0,2,1,4,0,0,Detchd,1962.0,Unf,1.0,352.0,3,Y,140,0,0,0,176,0,0,3,HdBoard,Plywood,None,Norm,WD,Hip,RARE,Lvl,Gtl,CBlock,0,1,1,1,0,1,0,0,0,1,0,0,0,5,152.0,11,30,2.0,1649.0,316,3924.0,6,9,12,6,9,6,6,9,35,31920,1896,0.0,2112.0,31920,95760,1.5,46.0,46.0,0.0,46.0,0.0,0.0703269586674892,228.0,1824.0,1789344.0,2,158.0,15144.0,4,3786.0,912,1,912.0,152.0,3,7,9,2,6,4,1,144000.0,136365.88196393976,Yes
20,RL,91.0,10652,CollgCr,1Fam,1Story,7,5,2006.0,2007.0,Stone,306.0,3,3,Av,1,0.0,1,0.0,1494.0,1494.0,1494,0,0,1494,0.0,0.0,2,0,3,1,7,1,4,Attchd,2006.0,RFn,3.0,840.0,3,Y,160,33,0,0,0,0,0,5,VinylSd,VinylSd,None,Norm,New,Gable,IR1,Lvl,Gtl,PConc,1,1,1,1,1,1,0,0,1,1,0,0,1,8,149.4,12,35,2.0,1494.0,193,4013.0,7,12,9,7,12,2,6,9,38,56772,1351,2142.0,5040.0,56772,283860,6.0,1.0,0.0,1.0,1.0,0.0,0.14025535110777318,213.42857142857142,2988.0,2998458.0,2,96.5,14786.0,5,2957.2,1494,1,1494.0,747.0,2,4,0,1,5,0,0,279500.0,231905.49888559183,Yes
20,RL,73.6,10920,NAmes,1Fam,1Story,6,5,1960.0,1960.0,BrkFace,212.0,3,3,No,4,733.0,1,0.0,520.0,1253.0,1253,0,0,1253,1.0,0.0,1,1,2,1,5,1,2,Attchd,1960.0,RFn,1.0,352.0,3,Y,0,213,176,0,0,0,0,3,MetalSd,MetalSd,None,Norm,WD,Hip,IR1,Lvl,Gtl,CBlock,1,1,1,1,1,1,1,0,0,1,0,0,1,8,156.625,11,30,2.5,1986.0,389,3920.0,6,9,11,6,9,5,6,9,35,43855,2334,1272.0,2112.0,43855,131565,1.8,48.0,48.0,0.0,48.0,0.0,0.11474358974358974,250.6,2506.0,2455880.0,2,194.5,13990.0,5,2798.0,1253,1,1253.0,250.6,2,1,8,7,8,9,1,157000.0,155243.64940363844,Yes
45,RM,51.0,6120,BrkSide,1Fam,1.5Unf,7,8,1929.0,2001.0,None,0.0,3,3,No,1,0.0,1,0.0,832.0,832.0,854,0,0,854,0.0,0.0,1,0,2,1,5,0,0,Detchd,1991.0,Unf,2.0,576.0,3,Y,48,112,0,0,0,0,0,2,Wd Sdng,Wd Sdng,None,Norm,WD,Gable,Reg,Lvl,Gtl,BrkTil,0,1,0,1,0,1,1,0,0,1,0,0,0,5,122.0,15,56,1.0,854.0,160,3930.0,6,9,8,6,9,2,6,9,35,29890,960,0.0,3456.0,29890,59780,4.5,78.0,6.0,72.0,16.0,62.0,0.13954248366013072,170.8,1686.0,1664832.0,2,80.0,8382.0,4,2095.5,854,1,854.0,416.0,3,7,1,2,0,8,2,132000.0,130636.12940116442,Yes
20,RL,72.2,11241,NAmes,1Fam,1Story,6,7,1970.0,1970.0,BrkFace,180.0,3,3,No,5,578.0,1,0.0,426.0,1004.0,1004,0,0,1004,1.0,0.0,1,0,2,1,5,1,3,Attchd,1970.0,Fin,2.0,480.0,3,Y,0,0,0,0,0,0,700,3,Wd Sdng,Wd Sdng,None,Norm,WD,Gable,IR1,Lvl,Gtl,CBlock,1,1,1,1,1,1,0,1,0,1,0,0,1,8,143.42857142857142,13,42,2.0,1582.0,0,3940.0,6,9,12,6,9,6,6,9,38,38152,0,1080.0,2880.0,38152,114456,1.5,40.0,40.0,0.0,40.0,0.0,0.08931589716217418,200.8,2008.0,1977880.0,0,0.0,13909.0,5,2781.8,1004,1,1004.0,167.33333333333334,3,1,1,2,3,1,1,149000.0,148204.28623417416,Yes
90,RL,72.0,10791,Sawyer,Duplex,1Story,4,5,1967.0,1967.0,None,0.0,3,0,None,0,0.0,0,0.0,0.0,0.0,1296,0,0,1296,0.0,0.0,2,0,2,2,6,0,0,CarPort,1967.0,Unf,2.0,516.0,3,Y,0,0,0,0,0,0,500,3,MetalSd,MetalSd,None,Norm,WD,Gable,Reg,Lvl,Gtl,RARE,0,1,1,1,0,1,0,1,0,1,0,0,0,6,129.6,9,20,2.0,1296.0,0,3934.0,6,9,0,0,0,0,6,9,22,28512,0,0.0,3096.0,28512,85536,0.0,39.0,39.0,0.0,39.0,0.0,0.12010008340283569,216.0,1296.0,0.0,0,0.0,12603.0,3,4201.0,1296,1,1296.0,0.0,2,7,1,7,3,5,1,90000.0,99371.45760345292,Yes
20,RL,66.0,13695,SawyerW,1Fam,1Story,5,5,2004.0,2004.0,None,0.0,3,3,No,6,646.0,1,0.0,468.0,1114.0,1114,0,0,1114,1.0,0.0,1,1,3,1,6,0,0,Detchd,2004.0,Unf,2.0,576.0,3,Y,0,102,0,0,0,0,0,5,VinylSd,VinylSd,None,RARE,WD,Gable,Reg,Lvl,Gtl,PConc,0,1,1,1,0,1,0,0,0,1,0,0,0,5,123.77777777777777,10,25,2.5,1760.0,102,4008.0,6,9,13,6,9,7,6,9,39,43446,612,0.0,3456.0,43446,217230,1.2857142857142858,4.0,4.0,0.0,4.0,0.0,0.08134355604235122,185.66666666666666,2228.0,2232456.0,1,102.0,16499.0,4,4124.75,1114,1,1114.0,159.14285714285714,2,1,1,7,0,2,0,159000.0,160431.3649111076,Yes
20,RL,70.0,7560,NAmes,1Fam,1Story,5,6,1958.0,1965.0,None,0.0,3,3,No,2,504.0,1,0.0,525.0,1029.0,1339,0,0,1339,0.0,0.0,1,0,3,1,6,0,0,Attchd,1958.0,Unf,1.0,294.0,3,Y,0,0,0,0,0,0,0,3,BrkFace,Plywood,None,Norm,COD,Hip,Reg,Lvl,Gtl,CBlock,0,1,1,0,1,1,1,0,0,0,0,0,0,5,167.375,11,30,1.0,1843.0,0,3923.0,6,9,9,6,9,3,6,9,32,42848,0,0.0,1764.0,42848,128544,3.0,51.0,44.0,7.0,51.0,0.0,0.17711640211640212,223.16666666666666,2368.0,2021985.0,0,0.0,10222.0,4,2555.5,1339,1,1339.0,343.0,3,1,9,7,3,4,1,139000.0,129722.89682340548,Yes
60,RL,101.0,14215,NridgHt,1Fam,2Story,8,5,2005.0,2006.0,BrkFace,380.0,3,3,Av,1,0.0,1,0.0,1158.0,1158.0,1158,1218,0,2376,0.0,0.0,3,1,4,1,9,1,4,BuiltIn,2005.0,RFn,3.0,853.0,3,Y,240,154,0,0,0,0,0,10,VinylSd,VinylSd,None,Norm,New,Gable,IR1,Lvl,Gtl,PConc,1,1,1,1,1,1,0,0,1,1,0,1,1,9,169.71428571428572,13,40,3.5,2376.0,394,4011.0,7,12,10,8,15,2,6,9,40,95040,2758,2660.0,5118.0,95040,950400,7.5,1.0,0.0,1.0,1.0,0.0,0.1671473795286669,264.0,3534.0,2322948.0,2,197.0,18982.0,5,3796.4,2376,2,1188.0,579.0,2,5,0,0,0,3,0,325300.0,332877.3845301747,Yes
45,RM,57.0,7449,IDOTRR,1Fam,1.5Unf,7,7,1930.0,1950.0,None,0.0,3,3,No,1,0.0,1,0.0,637.0,637.0,1108,0,0,1108,0.0,0.0,1,0,3,1,6,1,4,Attchd,1930.0,Unf,1.0,280.0,3,N,0,0,205,0,0,0,0,1,Wd Sdng,Wd Sdng,RARE,Norm,WD,Gable,Reg,RARE,Gtl,PConc,0,1,0,1,1,0,1,0,0,1,0,0,1,5,138.5,14,49,1.0,1108.0,205,3880.0,6,9,8,6,9,2,6,9,36,39888,1230,0.0,1680.0,39888,39888,4.5,77.0,57.0,20.0,77.0,0.0,0.14874479795945764,184.66666666666666,1745.0,1242150.0,1,205.0,9474.0,4,2368.5,1108,1,1108.0,318.5,3,7,9,7,2,1,2,139400.0,133868.50675951852,Yes
20,RL,75.0,9742,CollgCr,1Fam,1Story,8,5,2002.0,2002.0,BrkFace,281.0,3,3,No,1,0.0,1,0.0,1777.0,1777.0,1795,0,0,1795,0.0,0.0,2,0,3,1,7,1,4,Attchd,2002.0,RFn,2.0,534.0,3,Y,171,159,0,0,0,0,0,5,VinylSd,VinylSd,None,Norm,WD,Hip,Reg,Lvl,Gtl,PConc,1,1,1,1,1,1,0,0,0,1,0,0,1,7,179.5,13,40,2.0,1795.0,330,4004.0,7,12,9,7,12,2,6,9,39,70005,2310,1967.0,3204.0,70005,350025,6.0,6.0,6.0,0.0,6.0,0.0,0.18425374666392938,256.42857142857144,3572.0,3557554.0,2,165.0,14129.0,5,2825.8,1795,1,1795.0,888.5,2,4,0,1,0,0,0,230000.0,228261.53005611565,Yes
120,RM,44.0,4224,MeadowV,TwnhsE,1Story,5,7,1976.0,1976.0,None,0.0,3,3,No,6,840.0,1,0.0,200.0,1040.0,1060,0,0,1060,1.0,0.0,1,0,3,1,6,1,3,Attchd,1976.0,Unf,2.0,572.0,3,Y,100,110,0,0,0,0,0,1,CemntBd,CmentBd,None,Norm,WD,Gable,Reg,Lvl,Gtl,PConc,0,1,1,1,1,1,0,0,0,1,0,0,1,6,132.5,12,35,2.0,1900.0,210,3952.0,6,9,14,7,12,7,6,9,37,39220,1260,0.0,3432.0,39220,39220,1.7142857142857142,31.0,31.0,0.0,31.0,0.0,0.2509469696969697,176.66666666666666,2100.0,2055040.0,2,105.0,6896.0,4,1724.0,1060,1,1060.0,148.57142857142858,3,1,1,7,0,7,1,129900.0,132406.4421230586,Yes
20,RL,73.2,8246,Sawyer,1Fam,1Story,5,8,1968.0,2001.0,None,0.0,4,3,Mn,3,188.0,5,668.0,204.0,1060.0,1060,0,0,1060,1.0,0.0,1,0,3,1,6,1,3,Attchd,1968.0,Unf,1.0,270.0,3,Y,406,90,0,0,0,0,0,3,Plywood,Plywood,None,Norm,WD,Gable,IR1,Lvl,Gtl,CBlock,0,1,1,1,1,1,1,0,0,1,0,0,1,7,132.5,13,40,2.0,1916.0,496,3969.0,7,12,14,6,9,8,6,9,41,43460,3472,0.0,1620.0,43460,130380,1.125,42.0,9.0,33.0,42.0,0.0,0.12854717438758187,176.66666666666666,2120.0,2121060.0,2,248.0,10636.0,4,2659.0,1060,1,1060.0,132.5,3,1,9,7,7,8,1,154000.0,152806.5695660525,Yes
20,RL,110.0,14230,NridgHt,1Fam,1Story,8,5,2007.0,2007.0,Stone,640.0,3,3,No,1,0.0,1,0.0,1566.0,1566.0,1600,0,0,1600,0.0,0.0,2,0,3,1,7,1,4,Attchd,2007.0,RFn,3.0,890.0,3,Y,0,56,0,0,0,0,0,10,VinylSd,VinylSd,None,Norm,WD,Gable,Reg,Lvl,Gtl,PConc,1,1,1,1,1,1,0,0,0,1,0,0,1,7,160.0,13,40,2.0,1600.0,56,4014.0,7,12,9,7,12,2,6,9,39,62400,392,4480.0,5340.0,62400,624000,6.0,2.0,2.0,0.0,2.0,0.0,0.11243851018973998,228.57142857142858,3166.0,3142962.0,1,56.0,18926.0,5,3785.2,1600,1,1600.0,783.0,2,4,2,1,3,0,0,256300.0,255530.63484059152,Yes
20,RL,60.0,7200,NAmes,1Fam,1Story,5,7,1951.0,2000.0,None,0.0,3,3,Mn,4,234.0,3,486.0,180.0,900.0,900,0,0,900,0.0,1.0,1,0,3,1,5,0,0,Detchd,2005.0,Unf,2.0,576.0,3,Y,222,32,0,0,0,0,0,3,Wd Sdng,Wd Sdng,None,Norm,WD,Gable,Reg,Lvl,Gtl,CBlock,0,1,1,1,0,1,0,0,0,1,0,0,0,5,128.57142857142858,12,35,1.5,1620.0,254,3951.0,6,9,13,6,9,7,6,9,37,33300,1524,0.0,3456.0,33300,99900,1.2857142857142858,59.0,10.0,49.0,5.0,54.0,0.125,180.0,1800.0,1800000.0,2,127.0,9576.0,4,2394.0,900,1,900.0,128.57142857142858,3,7,1,2,5,1,1,134800.0,134801.8276469871,Yes
20,RL,98.0,11478,NridgHt,1Fam,1Story,8,5,2007.0,2008.0,Stone,200.0,3,3,No,6,1218.0,1,0.0,486.0,1704.0,1704,0,0,1704,1.0,0.0,2,0,3,1,7,1,4,Attchd,2008.0,RFn,3.0,772.0,3,Y,0,50,0,0,0,0,0,10,VinylSd,VinylSd,None,Norm,WD,Gable,Reg,Lvl,Gtl,PConc,1,1,1,1,1,1,0,0,0,1,0,0,1,7,170.4,13,40,3.0,2922.0,50,4015.0,7,12,15,8,15,7,6,9,45,76680,350,1400.0,4632.0,76680,766800,2.142857142857143,3.0,2.0,1.0,2.0,1.0,0.14845791949817042,243.42857142857142,3408.0,3421632.0,1,50.0,15858.0,5,3171.6,1704,1,1704.0,243.42857142857142,2,4,0,1,3,3,0,306000.0,307347.4201183084,Yes
20,RL,47.0,16321,NAmes,1Fam,1Story,5,6,1957.0,1997.0,None,0.0,3,3,Gd,4,1277.0,1,0.0,207.0,1484.0,1600,0,0,1600,1.0,0.0,1,0,2,1,6,2,4,Attchd,1957.0,RFn,1.0,319.0,3,Y,288,258,0,0,0,0,0,3,MetalSd,MetalSd,None,Norm,WD,Gable,IR1,Lvl,Gtl,CBlock,0,1,1,1,1,1,0,0,0,1,0,0,1,6,200.0,11,30,2.0,2877.0,546,3954.0,6,9,11,6,9,5,6,9,34,54400,3276,0.0,1914.0,54400,163200,1.8,49.0,9.0,40.0,49.0,0.0,0.09803320874946388,266.6666666666667,3084.0,2963548.0,2,273.0,19724.0,4,4931.0,1600,1,1600.0,296.8,3,4,8,1,8,4,1,207500.0,191700.44390687047,Yes
